,date,text
0,2020-05-04,future asset treatment accelerate transition exist industry electric car renewable energy exist industry due infectious corona proliferation influence sluggishness makers sign sales volume profitability last quarter market past quarterly market share exist finish vehicles also able maintain expansion electric vehicles expansion electric vehicles also inevitable solar wind conversion renewable energy also accelerate expect continue expand investment renewable energy since corona s end corona due favorable policy continue due decline battery performance due improve battery performance decline battery performance samsung sdi expect expand purchaser electric vehicles second half year highest visibility finish vehicles highly visible number production model china factory samsung sdi likely enter samsung sdi inside battery supply chain future agree expect treat future agree ess division samsung sdi dangted fire accident korea succeed look new renewable energy development cost ability expand capital investment explain development power generation technology price battery density due decline samsung sdi ess division sale power products europe unite state h expansion ess gradual demand recovery ess start create stable profit 
1,2020-05-04,cylindrical battery mount electric vehicle devices wireless cleaners laptop smartphones begin mount electric vehicles expect market size ship year accord market research agency sne research cylindrical electric car battery market year expect grow year gwh gwh electric cars mainly mount exist large pouch batteries base tesla start adopt small cylindrical battery tesla leader electric car launch model cylindrical battery recognize recognize rear runners also determine cylindrical battery mount jaguar lucid motor libyan adopt cylindrical battery cylindrical battery accept cylindrical battery standardize battery shaped battery size easy produce mass production standard standard high power model increase past model capacity electric car problem problem problem problem one problem one necessary replace whole marketplace change tesla reveal patent tela reveal patent tsla patent technology safely manage battery include rapid rechargeable battery include rapid rechargeable battery high also know large number company supply lg chemical samsung sdi panasonic cylindrical battery mass production system lg chemical samsung sdi cylindrical battery mount smart phone laptops lg electronics samsung electronics lg chem steadily produce lg chem able supply cylindrical battery exclusively rusid air standard model lucid motor us lg chemical s cylindrical battery also know cylindrical battery tesla general executive launch past day s earn announcement conference call conference call samsung sdi say battery proprietary uk jaguar land rover batteries normally mount electric vehicle pouch polymer type high power easy design high power high density stability high process process high disadvantage price high compare battery among domestic company lg chem sk innovation produce pouch batteries equip bmw audi etc also equip bmw audi etc relative relatively low manufacture cost korea samsung sdi korea battery produce 
2,2020-05-04,fact electric vehicle integrate state of the art already come already come year ago notice noteworthy electric car soon fell asleep later electric vehicle emerge year hungary s noh yurikin anyos jedlik make small model car drive electric motor invent actual person since actual person bore consider begin electric car result world s first gasoline engine automobile make world s first year old electric car world s first gasoline engine automobile make world electric car bear internal combustion engine case structure simple complicate mechanism engine clutch transmission engine clutch transmission engine clutch transmission necessary electric vehicle much easier move battery motor enthusiastic electric car first smell less gasoline car less vibration noise able start crank able start crank need get crank need get gear performance also excellent year belgium s camille janzi camille jenatzy run spin electric car la jamatzy develop electric car la jamais contente market share electric cars market hit prime period prime period electric car could last long first restriction begin battery battery heavy long fill time early century crystically unite state america conveyor unit price internal combustion vehicles greatly lower mass production system unit price internal combustion vehicles greatly lower dollar price electric car higher car popular earnest year early days last century case battery play crucial role lithium ion battery appear soon possible lithium ion battery emerge electric car short drive away result new heart new heart environment environment environmental pollution problem due car exhaust gas serious europe support fund develop electric cars without carbon emissions enhance environmental regulations specific carbon reduction target present countries release policy exert policy exert internal combustion us tesla stand daeson electric car revival concern ride internal combustion although neglect development electric cars tesla found begin jump begin electric vehicle since begin central km electric car able drive km charge km base percentage tesla s corporate value tesla s market capitalization dedicate tesla s market capitalization tslak tesla s market tsla us businessmen double volkswagen bubbigers tesla s market capitalization tesla s market capitalization great deal toyota s total toyota billion toyota s market capitalization toyota little decline tesla decline suppress greatest problem drive distance rapidly overcome battery technology compare charge time somewhat longer problem charge infrastructure remain short charge infrastructure remain shortage technical problem solve possible compete electric vehicle anymore longer able compete electric car korean company produce batteries core electric cars also instrument produce batteries electric car last year lg chemicals lg chemicals domestic company receive excellent evaluation invest aggressive investment expansion overseas factories 
3,2020-05-04,kona electric select best electric car european mini family call market hyundai say kona electric global automotive magazine top gear select small best family caesari top gear electric award year top gear long distance kona electric charlie turner bbc top gear magazine editor especially charlie turner bbc top gear magazine editor say kona electric achieve kona electric able travel long distance top gear assessment team european develop czech republic europe wall austria switzerland liechtenstein france luxembourg belgium visit netherlands luxemburg belgium netherlands long distance run test take total kwh test maximize total kwh test maximize operation time kona electric second half last year s release gain high popularity european market since first year release first year sell since first year year month year sell sell month month year sell year time go kona electric steadily sell european market hyundai motor european market hyundai start produce kona electric czech plant since last month kona electric produce czech republic hyundai motor czech republic first electric car model first electric car model year 
4,2020-05-04,renault samsung motor say month electric vehicle sm ze cash purchase purchase benefit etc maximum rate use interest rat sm purchase customers able purchase upper trim price trim trim choose one optional assurance guarantee one maximum cost cash support renault samsung exclude renault samsung also public servant also provide additional discount    win also available customers purchase electric car sm ze available customers purchase electric vehicles customers purchase cost purchase cost purchase goods cash support company
5,2020-05-04,sk chack product detail lg chemical tesla factory delivery samsung sdi multiple supply line korea battery sago gogo massari defense system thaad due world s largest chinese electric vehicle market year last year accord relate industry chinese industrial news department chinese industrial new weld ministry chinese industrial news department member chinese industrial news energy corporation model announce industrial news department china central bureau china s central bureau china s industrial normal resources china s bay automobile group s electric vehicle brand akpox s launch monday market markle suv alpha include acpzs batterie produce best best sk innovation beijing automotive best best produce electric car make sk innovation company receive subsidy chinese government company s market share since arrival beijing automotive group analyze scaffold expand chinese government exclude vehicles equip korean batteries since year month china electric car subsidy available much possible electric car subsidy grant recent years chinese government proud prospect sanction relieve fact sanction accept car accept korean batteries equip korean battery lg chem tesla china factory samsung sdi also secure plurality supply line china report policy domestic batteries actively assault localization strategies local production joint venture 
6,2020-05-04,turkish dog release consortium togg brand launch electric car brand release c suv prototype c suv prototype prototype togg release collaboration painin phrena similar maserati inspire detail unique culture anatolian culture chrysanthemum tulips turkey emphasize originality apply place concept model concept model conceptual model many part future basic silhouette main signature detail detail also expose emotion togg mass production indoor image release external image outstanding image electric vehicle futuristic technological friendly image electric vehicle addition add display panel variety function thereby equip camera instead side mirror allow display panel inside filler secure spacious clear visibility run filler stylish steer wheel dashboard detail jog dial increase visual satisfaction impressive functional part functional part support wireless update navigation software boast active connectivity boast active connectivity boast active connectivity equip module structure place electric motor front rear wheel rear wheel run performance rear wheel specification accelerate second state km accord specifications togg able get drive distance km year mass production first time launch togg lead success new employment record history rinse pain devrim 
7,2020-05-04,gs caltex announce sk louvrolet second half year sk louvroleth also start rd customize lubricant research electric vehicle manufacturer especially especially worship corona international oil price accord work gs caltex release electric car lubricant second half year gs caltex officials launch electric vehicle lubricants second half year would showcase product put necessary part lubricant electric car lubricant product release gs caltex expect second domestic refinery follow sk lubricus gs caltex accumulate years lubricant strategy attract electric vehicle manufacturers include know how strategy attract electric car manufacturers hyundai oil bank also complete rd electric car lubricant production hyundai oil bank officials continue continue rd years ago much market expand worry enter entry time electric car lubricant cool oil cool battery heat finish vehicles put machine part friction cool oil motor reducer implant transform electric vehicles industry s judgment lubricant limit performance improvement protection electric vehicles electric car lubricant market current company currently ahead sk lubri cathda year rd since release expose us electric car manufacturers increase sales refineries prepare electric car lubricants lubricant market play role cash khaul refinery domestic refineries compare overseas company create lubricant form premium market 
8,2020-05-04,tesla market share tesla domestic market interest tesla start market share tesla analysis stock price analysis electric vehicle google trend tesla keywords overwhelm importance import car market tesla s keywords overwhelm hyundai kia motor tsla start attention stock judge interest product analysis market share soar electric vehicle market enter domestic market enter domestic market open dog store hanam cheongdam researcher analysis market share soar electric car market strategic autonomous mileage etc emphasize event concentrate time tesla emphasize focus change interest change change car industry china s sales also important battery day level level month month expect decide possibility mobility mobility platform company tesla expect announce cost expiration cost cost innovation battery day especially tesla award tesla especially plan run taxi researcher base tesla technology innovation robo taxi robo taxi start run robo taxi robo taxi start run value mobility mobility platform co 
9,2020-05-04,domestic electric car battery representative runner lg chem blow lg chem thank bold investment put front world s market share thank override electric car battery market canadian market research agency adams innothells lg chemical lg chemical order balance lg chemicals catl respectively say lg chemical order balance exceed world panasonic catl convey joe pank respectively lg chemical explicitly upload opinion still separate sne research make different market share market lg chem s electric car battery market share result fact china catl back china catl world difference rank lg chem panasonic last year exceed point battery industry reduce around point battery industry base chinese japanese company global battery market share likely likelihood likely rise lg chemical market reason lg change rd investment lg chemical multi car battery market lg chem background battery market share increase powerful competitor japanese panasonic powerful competitor supply battery us tesla electric car share tesla high share china s electric car battery high catl high china fall share chinese electric vehicles china compare lg chem lg chem variety battery supply destinations volkswagen ford reno volvo gm tesla global market share steadily increase especially european market especially european market specialize european countries electricity lg chem increasingly increasingly increasingly increasingly lg chem build battery production plant poland european production capacity high exist gwh last year gwh last year poland plant largest production half lg chemical battery production recently factory expansion add nearby sit buy nearby sit decide increase production production next year lg chem expect grow gwh next year expect grow gwh next year year s earn announce conference call plan recently recent years continue supply us electric mansa call us electric vehicler supply contract call tesla s opposition lucid motor cylindrical battery supply contract kim jonghyun lg chemical battery business president president lucid motor cylindrical battery supply exist pouch batteries strengthen electric car battery business portfolio would achieve clear global scissor electric car battery lg chem establish gm electric vehicle battery s joint venture last year result invest billion win establish unite state joint vapor lg chem hold base production base china usa china china china china lg chemicals increase power electric vehicle increase power rd investment r investment lg chemical expense rd year lg invest rd thank bold rd investment number patent also increase number patent lg chemistry number patent lg chem also increase lg chem increase lg chem invest battery business global market share lg chem early days last year also torong half investment expense battery business lg chemical expand battery investment market market expansion bright accord sne research global electric car market rapidly grow last year prospective bieminology lg chemical vice chairman recently say global lead company competitiveness remember deduct invest future even crisis step relieve step corona shokro likely relax gasoline vehicle carbon dioxide emissions europe concern enhance environmental regulations enhance expansion electric vehicles addition european dealer eu executive committee european dealer association european dealer association along european union eu executive committee european union eu executive committee convey letter relaxation carbon dioxide emissions regulations finish vehicles reduce gasoline diesel vehicles increase electric car model letter european finish vehicles difficult meet standard corona proliferation demand battery expect surge eu center environment mean possibility regulatory increase difficulties increase strength electric vehicle plummet strength electric vehicle plummet battery order reduce sne research afraid european us battery market due corona battery market likely return reverse history chinese government also achieve chinese government recently extend recent electric vehicle subsidy support chinese government extend end year end year chinese automotive industry blow keep subsidy system industry protection chinese passenger automobile association say last month electric vehicle sales say chinese government decrease compare period previous year chinese government support subsidy catl byd likely benefit catl byd china market research agency economic research institute evaluate lg chem disadvantageous due extension subsidy policy lg chemical expect easy switch lg chemicals lg chem easy switch lg lg lg securitiesist securities continue follow deficit year instead securities expect investigate lg chemical battery business division stock lg chemical battery business division due reduction seasonal sales mid sized batteries concern would reduce deficit instead conversion 
