date,percentage
2020-05-04,20692
2020-05-06,10583
2020-05-07,4945
2020-05-08,4789
2020-05-11,17325
2020-05-12,6090
2020-05-13,8548
2020-05-14,6738
2020-05-15,6118
2020-05-18,17299
2020-05-19,6357
2020-05-20,6091
2020-05-21,6456
2020-05-22,5763
2020-05-25,17319
2020-05-26,7325
2020-05-27,6410
2020-05-28,5962
2020-05-29,5432
2020-06-01,16954
2020-06-02,5950
2020-06-03,6398
2020-06-04,5930
2020-06-05,5638
2020-06-08,16110
2020-06-09,6698
2020-06-10,6799
2020-06-11,6322
2020-06-12,5315
2020-06-15,32059
2020-06-16,7535
2020-06-17,7863
2020-06-18,7245
2020-06-19,7000
2020-06-22,26764
2020-06-23,8219
2020-06-24,7984
2020-06-25,6774
2020-06-26,6586
2020-06-29,21397
2020-06-30,6867
2020-07-01,7245
2020-07-02,7194
2020-07-03,7252
2020-07-06,25851
2020-07-07,8987
2020-07-08,9642
2020-07-09,8189
2020-07-10,7189
2020-07-13,25208
2020-07-14,11393
2020-07-15,9946
2020-07-16,9160
2020-07-17,8991
2020-07-20,26867
2020-07-21,9258
2020-07-22,9209
2020-07-23,9991
2020-07-24,8001
2020-07-27,30220
2020-07-28,11158
2020-07-29,9246
2020-07-30,7566
2020-07-31,7798
2020-08-03,22811
2020-08-04,7332
2020-08-05,10178
2020-08-06,8993
2020-08-07,8584
2020-08-10,25697
2020-08-11,10103
2020-08-12,9020
2020-08-13,8359
2020-08-14,8657
2020-08-18,34724
2020-08-19,9205
2020-08-20,8321
2020-08-21,7767
2020-08-24,24432
2020-08-25,8454
2020-08-26,8332
2020-08-27,8486
2020-08-28,7695
2020-08-31,22929
2020-09-01,9020
2020-09-02,8883
2020-09-03,7862
2020-09-04,7312
2020-09-07,21821
2020-09-08,7725
2020-09-09,8223
2020-09-10,7773
2020-09-11,7409
2020-09-14,23940
2020-09-15,7974
2020-09-16,7751
2020-09-17,7479
2020-09-18,6720
2020-09-21,20321
2020-09-22,7053
2020-09-23,8812
2020-09-24,7366
2020-09-25,6060
2020-09-28,18648
2020-09-29,6192
2020-10-05,39104
2020-10-06,6196
2020-10-07,5565
2020-10-08,5639
2020-10-12,19948
2020-10-13,5025
2020-10-14,4948
2020-10-15,5005
2020-10-16,4953
2020-10-19,15226
2020-10-20,5112
2020-10-21,5766
2020-10-22,5341
2020-10-23,4560
2020-10-26,14074
2020-10-27,4974
2020-10-28,4805
2020-10-29,5095
2020-10-30,6500
2020-11-02,17059
2020-11-03,4984
2020-11-04,4860
2020-11-05,4925
2020-11-06,5109
2020-11-09,16494
2020-11-10,5489
2020-11-11,5345
2020-11-12,5505
2020-11-13,5462
2020-11-16,17266
2020-11-17,5627
2020-11-18,5321
2020-11-19,6411
2020-11-20,6617
2020-11-23,18474
2020-11-24,6283
2020-11-25,5785
2020-11-26,5558
2020-11-27,5580
2020-11-30,16590
2020-12-01,5485
2020-12-02,6311
2020-12-03,7576
2020-12-04,6779
2020-12-07,24283
2020-12-08,10250
2020-12-09,8134
2020-12-10,8289
2020-12-11,6777
2020-12-14,16971
2020-12-15,5210
2020-12-16,6031
2020-12-17,5542
2020-12-18,5243
2020-12-21,15352
2020-12-22,5634
2020-12-23,6625
2020-12-24,5363
2020-12-28,23297
2020-12-29,6922
2020-12-30,6262
2021-01-04,37086
2021-01-05,8721
2021-01-06,7189
2021-01-07,6540
2021-01-08,9677
2021-01-11,21626
2021-01-12,6841
2021-01-13,8374
2021-01-14,9166
2021-01-15,7898
2021-01-18,21367
2021-01-19,7201
2021-01-20,7522
2021-01-21,14774
2021-01-22,19270
2021-01-25,24930
2021-01-26,7234
2021-01-27,6761
2021-01-28,5902
2021-01-29,6601
2021-02-01,19145
2021-02-02,6985
2021-02-03,6534
2021-02-04,7153
2021-02-05,6682
2021-02-08,20488
2021-02-09,7184
2021-02-10,6200
2021-02-15,40009
2021-02-16,8532
2021-02-17,9309
2021-02-18,10184
2021-02-19,9124
2021-02-22,25794
2021-02-23,10912
2021-02-24,10536
2021-02-25,9876
2021-02-26,9146
2021-03-02,33634
2021-03-03,7897
2021-03-04,8185
2021-03-05,7427
2021-03-08,26439
2021-03-09,8421
2021-03-10,8394
2021-03-11,7805
2021-03-12,7265
2021-03-15,22760
2021-03-16,8089
2021-03-17,7855
2021-03-18,7795
2021-03-19,7680
2021-03-22,23589
2021-03-23,8081
2021-03-24,7695
2021-03-25,7350
2021-03-26,7016
2021-03-29,21105
2021-03-30,8020
2021-03-31,8888
2021-04-01,8036
2021-04-02,7649
2021-04-05,23277
2021-04-06,7214
2021-04-07,6866
2021-04-08,7538
2021-04-09,6764
2021-04-12,22172
2021-04-13,7951
2021-04-14,7843
2021-04-15,7496
2021-04-16,7817
2021-04-19,23168
2021-04-20,7826
2021-04-21,7012
2021-04-22,6722
2021-04-23,6873
2021-04-26,20640
2021-04-27,6551
2021-04-28,6317
2021-04-29,6112
2021-04-30,5800
