date,percentage
2020-05-01,5152
2020-05-05,20692
2020-05-07,10583
2020-05-08,4945
2020-05-09,4789
2020-05-12,17325
2020-05-13,6090
2020-05-14,8548
2020-05-15,6738
2020-05-16,6118
2020-05-19,17299
2020-05-20,6357
2020-05-21,6091
2020-05-22,6456
2020-05-23,5763
2020-05-26,17319
2020-05-27,7325
2020-05-28,6410
2020-05-29,5962
2020-05-30,5432
2020-06-02,16954
2020-06-03,5950
2020-06-04,6398
2020-06-05,5930
2020-06-06,5638
2020-06-09,16110
2020-06-10,6698
2020-06-11,6799
2020-06-12,6322
2020-06-13,5315
2020-06-16,32059
2020-06-17,7535
2020-06-18,7863
2020-06-19,7245
2020-06-20,7000
2020-06-23,26764
2020-06-24,8219
2020-06-25,7984
2020-06-26,6774
2020-06-27,6586
2020-06-30,21397
2020-07-01,6867
2020-07-02,7245
2020-07-03,7194
2020-07-04,7252
2020-07-07,25851
2020-07-08,8987
2020-07-09,9642
2020-07-10,8189
2020-07-11,7189
2020-07-14,25208
2020-07-15,11393
2020-07-16,9946
2020-07-17,9160
2020-07-18,8991
2020-07-21,26867
2020-07-22,9258
2020-07-23,9209
2020-07-24,9991
2020-07-25,8001
2020-07-28,30220
2020-07-29,11158
2020-07-30,9246
2020-07-31,7566
2020-08-01,7798
2020-08-04,22811
2020-08-05,7332
2020-08-06,10178
2020-08-07,8993
2020-08-08,8584
2020-08-11,25697
2020-08-12,10103
2020-08-13,9020
2020-08-14,8359
2020-08-15,8657
2020-08-19,34724
2020-08-20,9205
2020-08-21,8321
2020-08-22,7767
2020-08-25,24432
2020-08-26,8454
2020-08-27,8332
2020-08-28,8486
2020-08-29,7695
2020-09-01,22929
2020-09-02,9020
2020-09-03,8883
2020-09-04,7862
2020-09-05,7312
2020-09-08,21821
2020-09-09,7725
2020-09-10,8223
2020-09-11,7773
2020-09-12,7409
2020-09-15,23940
2020-09-16,7974
2020-09-17,7751
2020-09-18,7479
2020-09-19,6720
2020-09-22,20321
2020-09-23,7053
2020-09-24,8812
2020-09-25,7366
2020-09-26,6060
2020-09-29,18648
2020-09-30,6192
2020-10-06,39104
2020-10-07,6196
2020-10-08,5565
2020-10-09,5639
2020-10-13,19948
2020-10-14,5025
2020-10-15,4948
2020-10-16,5005
2020-10-17,4953
2020-10-20,15226
2020-10-21,5112
2020-10-22,5766
2020-10-23,5341
2020-10-24,4560
2020-10-27,14074
2020-10-28,4974
2020-10-29,4805
2020-10-30,5095
2020-10-31,6500
2020-11-03,17059
2020-11-04,4984
2020-11-05,4860
2020-11-06,4925
2020-11-07,5109
2020-11-10,16494
2020-11-11,5489
2020-11-12,5345
2020-11-13,5505
2020-11-14,5462
2020-11-17,17266
2020-11-18,5627
2020-11-19,5321
2020-11-20,6411
2020-11-21,6617
2020-11-24,18474
2020-11-25,6283
2020-11-26,5785
2020-11-27,5558
2020-11-28,5580
2020-12-01,16590
2020-12-02,5485
2020-12-03,6311
2020-12-04,7576
2020-12-05,6779
2020-12-08,24283
2020-12-09,10250
2020-12-10,8134
2020-12-11,8289
2020-12-12,6777
2020-12-15,16971
2020-12-16,5210
2020-12-17,6031
2020-12-18,5542
2020-12-19,5243
2020-12-22,15352
2020-12-23,5634
2020-12-24,6625
2020-12-25,5363
2020-12-29,23297
2020-12-30,6922
2020-12-31,6262
2021-01-05,37086
2021-01-06,8721
2021-01-07,7189
2021-01-08,6540
2021-01-09,9677
2021-01-12,21626
2021-01-13,6841
2021-01-14,8374
2021-01-15,9166
2021-01-16,7898
2021-01-19,21367
2021-01-20,7201
2021-01-21,7522
2021-01-22,14774
2021-01-23,19270
2021-01-26,24930
2021-01-27,7234
2021-01-28,6761
2021-01-29,5902
2021-01-30,6601
2021-02-02,19145
2021-02-03,6985
2021-02-04,6534
2021-02-05,7153
2021-02-06,6682
2021-02-09,20488
2021-02-10,7184
2021-02-11,6200
2021-02-16,40009
2021-02-17,8532
2021-02-18,9309
2021-02-19,10184
2021-02-20,9124
2021-02-23,25794
2021-02-24,10912
2021-02-25,10536
2021-02-26,9876
2021-02-27,9146
2021-03-03,33634
2021-03-04,7897
2021-03-05,8185
2021-03-06,7427
2021-03-09,26439
2021-03-10,8421
2021-03-11,8394
2021-03-12,7805
2021-03-13,7265
2021-03-16,22760
2021-03-17,8089
2021-03-18,7855
2021-03-19,7795
2021-03-20,7680
2021-03-23,23589
2021-03-24,8081
2021-03-25,7695
2021-03-26,7350
2021-03-27,7016
2021-03-30,21105
2021-03-31,8020
2021-04-01,8888
2021-04-02,8036
2021-04-03,7649
2021-04-06,23277
2021-04-07,7214
2021-04-08,6866
2021-04-09,7538
2021-04-10,6764
2021-04-13,22172
2021-04-14,7951
2021-04-15,7843
2021-04-16,7496
2021-04-17,7817
2021-04-20,23168
2021-04-21,7826
2021-04-22,7012
2021-04-23,6722
2021-04-24,6873
2021-04-27,20640
2021-04-28,6551
2021-04-29,6317
2021-04-30,6112
