date,hyundai,kia,lg,samsung,sk,posco,news_num,search_vol,sentimental
2020-05-04,0,0,1,1,0,0,10,20692,0.348374256
2020-05-06,14,0,0,1,0,0,18,10583,0.126597244
2020-05-07,5,0,6,1,0,0,14,4945,0.261125406
2020-05-08,0,0,4,0,0,0,6,4789,0.622094769
2020-05-11,16,1,1,0,0,0,26,17325,0.310097962
2020-05-12,3,0,0,0,0,0,6,6090,0.52006084
2020-05-13,7,0,0,0,0,0,41,8548,0.291514814
2020-05-14,7,1,6,3,1,3,36,6738,0.60613966
2020-05-15,3,0,3,0,0,2,23,6118,0.538991919
2020-05-18,2,1,1,2,0,0,9,17299,0.353428112
2020-05-19,2,0,1,0,0,0,17,6357,0.366714702
2020-05-20,1,0,0,0,0,0,7,6091,0.214114568
2020-05-21,1,1,1,1,1,0,7,6456,0.298594355
2020-05-22,0,0,0,0,0,0,5,5763,0.478562115
2020-05-25,0,0,2,0,0,0,14,17319,0.41104571
2020-05-26,0,0,0,2,0,0,8,7325,0.459287252
2020-05-27,5,8,0,0,0,0,17,6410,0.453894286
2020-05-28,11,10,10,0,0,0,25,5962,0.417878557
2020-05-29,3,3,0,0,0,0,6,5432,0.334926861
2020-06-01,7,0,1,0,0,0,26,16954,0.564887475
2020-06-02,0,0,0,1,0,0,7,5950,0.322056063
2020-06-03,0,0,2,1,0,0,7,6398,0.739840599
2020-06-04,0,0,0,1,0,0,8,5930,0.12709732
2020-06-05,0,0,0,0,0,0,10,5638,0.35307997
2020-06-08,7,5,1,5,0,0,28,16110,0.578797629
2020-06-09,16,5,0,0,2,0,30,6698,0.441384058
2020-06-10,4,2,1,0,1,0,18,6799,0.468571559
2020-06-11,0,0,6,0,0,0,9,6322,0.309640725
2020-06-12,0,0,0,0,0,0,1,5315,0.022489244
2020-06-15,1,1,3,1,0,8,20,32059,0.295997889
2020-06-16,1,0,3,0,0,2,8,7535,0.313878558
2020-06-17,1,0,0,0,0,1,18,7863,0.305196645
2020-06-18,12,11,11,0,0,0,30,7245,0.285968427
2020-06-19,13,3,12,0,0,0,27,7000,0.555004819
2020-06-22,6,0,9,1,1,0,49,26764,0.451705299
2020-06-23,13,8,4,0,1,0,40,8219,0.381855668
2020-06-24,9,5,0,0,0,0,17,7984,0.486319607
2020-06-25,1,0,0,0,0,0,5,6774,0.719291764
2020-06-26,2,0,1,0,6,0,12,6586,0.519345145
2020-06-29,3,6,1,0,7,0,23,21397,0.460397746
2020-06-30,3,0,0,0,0,0,12,6867,0.405260095
2020-07-01,0,0,0,0,0,0,14,7245,0.58038114
2020-07-02,0,0,4,1,1,0,24,7194,0.41240668
2020-07-03,1,0,2,2,0,4,22,7252,0.226178004
2020-07-06,2,0,1,1,2,0,36,25851,0.472612496
2020-07-07,7,0,17,0,8,0,55,8987,0.437559483
2020-07-08,3,0,2,0,1,0,24,9642,0.276191664
2020-07-09,0,0,0,0,0,0,4,8189,0.214675269
2020-07-10,0,0,0,0,0,0,7,7189,0.112837267
2020-07-13,1,1,0,0,1,0,16,25208,0.395648645
2020-07-14,1,0,0,0,0,0,6,11393,0.252746801
2020-07-15,9,6,2,0,2,0,33,9946,0.384540611
2020-07-16,6,2,0,0,0,0,14,9160,0.294230039
2020-07-17,0,0,0,0,6,0,19,8991,0.487043071
2020-07-20,3,6,0,0,2,0,35,26867,0.146059791
2020-07-21,1,2,0,0,0,0,28,9258,0.523863296
2020-07-22,0,0,0,0,0,0,22,9209,0.424290937
2020-07-23,1,0,3,0,2,1,22,9991,0.381522436
2020-07-24,1,2,0,1,0,0,14,8001,0.352700197
2020-07-27,2,1,2,0,0,0,38,30220,0.498917901
2020-07-28,3,1,0,3,0,0,30,11158,0.365208042
2020-07-29,0,0,0,3,5,0,39,9246,0.442606739
2020-07-30,2,0,0,0,2,0,17,7566,0.269007639
2020-07-31,2,1,17,0,1,0,25,7798,0.663747807
2020-08-03,2,0,16,0,0,0,28,22811,0.590853401
2020-08-04,1,0,2,0,0,0,7,7332,0.277036517
2020-08-05,1,0,1,0,0,3,11,10178,0.546520866
2020-08-06,0,1,0,0,0,2,8,8993,0.532005179
2020-08-07,3,1,5,0,0,0,14,8584,0.412520769
2020-08-10,21,1,2,0,1,0,56,25697,0.460515859
2020-08-11,11,1,1,0,1,0,31,10103,0.507240086
2020-08-12,3,0,0,0,0,0,22,9020,0.192072025
2020-08-13,0,0,0,0,0,0,8,8359,0.484742092
2020-08-14,2,0,0,0,0,0,12,8657,0.42413635
2020-08-18,4,2,1,0,0,0,52,34724,0.388365109
2020-08-19,2,0,0,0,0,0,14,9205,0.525108899
2020-08-20,0,0,0,0,0,0,8,8321,0.14734873
2020-08-21,2,0,0,0,0,0,10,7767,0.675446963
2020-08-24,2,0,0,0,0,0,26,24432,0.383892743
2020-08-25,0,11,0,0,0,0,26,8454,0.27178279
2020-08-26,1,2,0,0,0,0,12,8332,0.427877718
2020-08-27,22,0,1,0,0,0,29,8486,0.200664122
2020-08-28,1,0,1,0,0,0,9,7695,0.463672269
2020-08-31,7,0,0,0,0,0,19,22929,0.345846661
2020-09-01,0,0,10,0,2,3,20,9020,0.31417829
2020-09-02,0,0,0,0,0,0,1,8883,0.260047734
2020-09-03,3,8,3,0,0,0,22,7862,0.242364691
2020-09-04,2,1,0,0,0,0,6,7312,0.519167946
2020-09-07,2,0,4,1,2,0,16,21821,0.191035154
2020-09-08,15,12,1,0,16,1,24,7725,0.725055451
2020-09-09,4,2,0,0,7,0,15,8223,0.46665275
2020-09-10,0,0,0,0,1,0,8,7773,0.237832176
2020-09-11,0,0,0,0,0,1,9,7409,0.073525218
2020-09-14,3,0,0,1,0,0,25,23940,0.467131495
2020-09-15,0,0,0,0,1,0,5,7974,0.420546725
2020-09-16,3,20,1,0,0,0,41,7751,0.410873375
2020-09-17,5,5,12,0,1,0,40,7479,0.528048579
2020-09-18,1,2,0,1,0,0,10,6720,0.269333208
2020-09-21,1,4,1,1,0,0,35,20321,0.266563163
2020-09-22,1,0,0,0,0,0,13,7053,0.534548007
2020-09-23,2,1,0,0,0,0,49,8812,0.350587732
2020-09-24,1,0,1,0,0,0,26,7366,0.293758947
2020-09-25,1,0,0,0,0,0,32,6060,0.82648019
2020-09-28,7,9,1,1,2,0,37,18648,0.446124033
2020-09-29,2,0,0,0,0,0,19,6192,0.37809676
2020-10-05,16,16,16,0,1,0,62,39104,0.466506193
2020-10-06,2,0,4,0,0,2,14,6196,0.444139277
2020-10-07,1,0,1,0,0,0,17,5565,0.250977438
2020-10-08,18,0,0,0,0,0,43,5639,0.509889073
2020-10-12,19,0,4,2,2,1,53,19948,0.253756042
2020-10-13,2,0,0,0,0,11,16,5025,0.291217995
2020-10-14,3,0,0,0,0,2,11,4948,0.347070865
2020-10-15,0,0,0,1,0,0,12,5005,0.362877089
2020-10-16,0,0,1,0,1,0,14,4953,0.343697279
2020-10-19,14,6,5,0,2,0,54,15226,0.361517754
2020-10-20,3,1,3,0,6,0,19,5112,0.500379935
2020-10-21,4,1,1,0,1,0,21,5766,0.446373921
2020-10-22,2,0,5,0,1,0,17,5341,0.216650294
2020-10-23,1,0,0,0,0,0,3,4560,0.335705454
2020-10-26,2,1,1,0,3,0,9,14074,0.423586688
2020-10-27,2,1,0,4,0,0,17,4974,0.293895864
2020-10-28,2,0,1,1,13,0,21,4805,0.31742107
2020-10-29,0,1,0,0,1,0,11,5095,0.268324369
2020-10-30,3,0,3,0,1,1,42,6500,0.581571157
2020-11-02,4,0,2,0,0,0,30,17059,0.273535564
2020-11-03,2,0,0,0,0,0,10,4984,0.32499532
2020-11-04,0,0,0,0,0,0,13,4860,0.550435182
2020-11-05,0,1,1,0,0,0,9,4925,0.257808339
2020-11-06,7,3,0,0,0,0,14,5109,0.356841785
2020-11-09,2,1,1,0,2,0,27,16494,0.328150879
2020-11-10,1,0,1,0,0,0,6,5489,0.213836979
2020-11-11,3,0,0,0,0,0,11,5345,0.203640415
2020-11-12,8,0,0,0,0,0,17,5505,0.320899305
2020-11-13,1,0,0,0,0,0,6,5462,0.426884978
